Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1126,6141,3221,3984,29111,168352,162058,155222,1622,8619,7762,7980,596,601,363,270,39.82,99.67,94.06,75.53,17.94759556,19.5326604,20.87838186,19.45137845,48.84395973,280.1198003,446.4407713,574.8962963,25.85346359,27.41442762,50.31294629,38.96134538,20.15997109,0.681,"10,377,204"
Adıyaman,437,2065,1296,1162,9196,52908,52593,53781,580,2829,2995,2417,307,547,221,90,40.51,100,94.88,72.86,15.85517241,18.70201485,17.56026711,22.25113777,29.95439739,96.72394881,237.9773756,597.5666667,21.04347826,25.62130751,40.58101852,46.28313253,21.77402984,0.589,"3,668,445"
Afyonkarahisar,536,3100,1423,1465,9454,49176,46380,44384,601,2853,2885,2685,363,380,264,134,46.55,99.34,94.26,74.28,15.73044925,17.23659306,16.0762565,16.53035382,26.04407713,129.4105263,175.6818182,331.2238806,17.6380597,15.86322581,32.59311314,30.29624573,25.7504786,0.705,"3,846,967"
Ağrı,355,3070,924,691,8556,69305,69481,32975,381,2464,2264,1143,322,649,205,57,26.07,100,86.13,42.72,22.45669291,28.12702922,30.68948763,28.84951881,26.57142857,106.7873652,338.9317073,578.5087719,24.10140845,22.57491857,75.19588745,47.72069465,16.09160534,0.629,"2,901,590"
Amasya,297,1128,901,820,6161,18349,20317,23655,359,1476,1490,1528,157,138,94,74,64.42,100,98.34,90.68,17.16155989,12.43157182,13.63557047,15.48102094,39.24203822,132.9637681,216.1382979,319.6621622,20.74410774,16.26684397,22.54938957,28.84756098,30.84864636,0.674,"2,112,577"
Ankara,3657,11842,8234,9200,65640,314595,313457,354883,5257,18986,17832,22039,1340,821,655,698,47.81,99.76,97.32,88.83,12.48620886,16.56984094,17.57834231,16.10250011,48.98507463,383.1851401,478.5603053,508.4283668,17.94913864,26.56603614,38.06861793,38.57423913,55.96383187,0.764,"58,682,275"
Antalya,1760,7398,3104,3995,38857,143937,139412,149508,2345,8199,7974,7912,717,633,491,272,62.63,99.06,95.07,80.8,16.57014925,17.55543359,17.48332079,18.89635996,54.19386332,227.3886256,283.9348269,549.6617647,22.07784091,19.45620438,44.91365979,37.42377972,19.99362749,0.764,"9,431,274"
Artvin,109,756,298,540,2143,8636,9443,12043,135,592,754,836,68,68,65,51,54.45,99.1,97.23,92.67,15.87407407,14.58783784,12.52387268,14.40550239,31.51470588,127,145.2769231,236.1372549,19.66055046,11.42328042,31.68791946,22.30185185,34.97619712,0.699,"1,128,507"
Aydın,719,3238,2197,1991,12865,58797,58830,61832,881,3900,4018,4138,403,375,231,150,52.31,99.8,96.38,80.05,14.60272418,15.07615385,14.64161274,14.94248429,31.92307692,156.792,254.6753247,412.2133333,17.89290682,18.15843113,26.77742376,31.05575088,26.62397829,0.705,"5,120,430"
Balıkesir,641,3597,1938,2139,11950,59492,61633,69967,835,3956,4174,4632,397,428,266,198,52.53,99.54,96.4,83.71,14.31137725,15.03842265,14.76593196,15.10513817,30.10075567,139,231.7030075,353.3686869,18.64274571,16.53933834,31.80237358,32.71014493,26.55311216,0.734,"5,391,397"
Bilecik,125,767,306,567,2897,11262,11652,13439,147,674,668,929,60,63,53,55,61.01,98.57,96.13,92.97,19.70748299,16.70919881,17.44311377,14.46609257,48.28333333,178.7619048,219.8490566,244.3454545,23.176,14.68318123,38.07843137,23.70194004,30.94792357,0.725,"1,214,706"
Bingöl,213,1276,480,498,3690,22801,22645,22083,195,1178,1098,889,133,285,89,38,34.35,98.88,91.9,64.55,18.92307692,19.35568761,20.62386157,24.84026997,27.7443609,80.00350877,254.4382022,581.1315789,17.32394366,17.86912226,47.17708333,44.34337349,23.85037701,0.645,"1,698,600"
Bitlis,291,2062,741,658,6003,37670,39030,25723,318,1684,1817,1018,232,466,149,59,32.18,99.76,90.17,53.15,18.87735849,22.36935867,21.4804623,25.26817289,25.875,80.83690987,261.9463087,435.9830508,20.62886598,18.26867119,52.67206478,39.09270517,20.46324682,0.645,"2,218,748"
Bolu,170,1350,112,668,3623,15050,15569,18781,252,965,998,1216,81,78,71,56,54.24,98.79,96.51,95.76,14.37698413,15.59585492,15.6002004,15.44490132,44.72839506,192.9487179,219.2816901,335.375,21.31176471,11.14814815,139.0089286,28.11526946,43.91539521,0.734,"2,328,526"
Burdur,216,1185,551,647,3889,13952,14013,15716,246,1066,1131,1123,130,123,87,57,71.28,98.02,92.28,86.48,15.80894309,13.08818011,12.38992042,13.99465717,29.91538462,113.4308943,161.0689655,275.7192982,18.00462963,11.77383966,25.43194192,24.29057187,38.7127181,0.764,"1,841,564"
Bursa,1595,7586,2399,4699,37760,175623,173188,184724,1993,9267,9122,9791,696,579,505,357,48.05,99.49,96.12,82.52,18.94631209,18.9514406,18.98574874,18.86671433,54.25287356,303.3212435,342.9465347,517.4341737,23.67398119,23.15093593,72.19174656,39.31134284,19.63340306,0.725,"11,216,465"
Çanakkale,298,1491,847,1067,6007,23097,23668,26873,405,1669,1562,1998,166,160,103,114,63.03,98.83,95.31,87.81,14.83209877,13.83882564,15.15236876,13.44994995,36.18674699,144.35625,229.7864078,235.7280702,20.15771812,15.49094567,27.9433294,25.18556701,33.69922782,0.734,"2,683,975"
Çankırı,129,647,375,433,2598,9224,9624,11106,140,532,573,772,65,74,49,41,51.28,89.23,84.71,75.71,18.55714286,17.33834586,16.79581152,14.38601036,39.96923077,124.6486486,196.4081633,270.8780488,20.13953488,14.25656878,25.664,25.64896074,36.36271197,0.679,"1,183,679"
