Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,,,,,,
Adana,1095,6381,4044,4762,34955,161895,150414,166381,1918,8992,8693,9212,638,550,354,247,,93.99,93.71,42.4,18.22471324,18.00433719,17.30288738,18.06133304,54.78840125,294.3545455,424.8983051,673.6072874,31.92237443,25.37141514,37.19436202,34.93931121,25.91967215,0.791,"13,313,510",,,,,
Adıyaman,462,1921,1743,1511,10316,50648,48064,57237,599,2963,3123,2930,301,480,195,94,,95.41,94.96,31.65,17.22203673,17.09348633,15.39032981,19.53481229,34.27242525,105.5166667,246.4820513,608.9042553,22.32900433,26.36543467,27.57544464,37.88021178,27.45471987,0.743,"4,564,759",,,,,
Afyonkarahisar,536,3196,2035,1857,10672,44694,43964,48388,697,3119,3220,2956,376,381,281,129,,93.26,94.47,36.42,15.31133429,14.32959282,13.65341615,16.36941813,28.38297872,117.3070866,156.455516,375.1007752,19.91044776,13.98435544,21.6039312,26.05708131,32.19126985,0.811,"4,755,230",,,,,
Ağrı,430,3097,1460,1021,9354,60686,57960,38271,551,2916,3503,2013,369,632,223,60,,97.37,88.96,25.39,16.97640653,20.81138546,16.54581787,19.0119225,25.3495935,96.0221519,259.9103139,637.85,21.75348837,19.59509202,39.69863014,37.48383937,22.89660855,0.77,"3,807,042",,,,,
Amasya,262,1141,986,972,5430,17378,18405,24449,374,1347,1605,1645,158,131,95,63,,94.49,97.23,42.14,14.51871658,12.90126206,11.46728972,14.86261398,34.36708861,132.6564885,193.7368421,388.0793651,20.72519084,15.23049956,18.6663286,25.15329218,40.07441138,0.797,"2,631,366",,,,,
Ankara,4126,12491,10047,13512,73254,313535,308605,378641,5510,19057,20871,26962,1308,812,717,716,,93.1,96.08,43.8,13.29473684,16.45248465,14.78630636,14.04350567,56.00458716,386.1268473,430.4114365,528.8282123,17.7542414,25.10087263,30.71613417,28.02257253,73.89545685,0.833,"79,366,307",,,,,
Antalya,1994,7756,4339,5361,45474,144283,140326,165369,2817,8828,9263,9874,821,588,469,300,,91.4,94.04,45.79,16.14270501,16.34379248,15.14908777,16.74792384,55.38855055,245.3792517,299.2025586,551.23,22.80541625,18.60275915,32.34063148,30.8466704,25.21627322,0.791,"12,493,453",,,,,
Artvin,109,721,386,547,2169,7959,8563,11612,133,591,701,880,68,60,60,43,,94.48,97.09,46.53,16.30827068,13.46700508,12.21540656,13.19545455,31.89705882,132.65,142.7166667,270.0465116,19.89908257,11.03883495,22.18393782,21.2285192,48.22215622,0.806,"1,461,276",,,,,
Aydın,763,3660,2413,2432,16400,57297,56107,66383,1042,4127,4478,4820,401,354,241,150,,93.67,95.76,46.03,15.73896353,13.88345045,12.52947745,13.77240664,40.89775561,161.8559322,232.8091286,442.5533333,21.49410223,15.65491803,23.2519685,27.29564145,33.06374021,0.811,"6,486,676",,,,,
Balıkesir,704,3512,2190,2557,15483,56779,58886,72192,1019,4130,4509,5203,417,368,246,167,,93.13,95.79,42.38,15.19430815,13.74794189,13.05965846,13.87507207,37.1294964,154.2907609,239.3739837,432.2874251,21.99289773,16.16714123,26.88858447,28.23308565,32.45608832,0.79,"6,599,621",,,,,
